AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE
Chrompet,1081,115,1,1,3,Family,No,House,NoSewage,Gravel,RM,2,4,2,3,268332,71555,8944400
Chrompet,794,148,1,1,2,Normal Sale,Yes,Others,All Pub,No Access,RM,3,2,2,2,252982,61065,8723530
Adyar,685,83,1,1,2,Partial,No,Others,NoSewage,Paved,I,2,3,2,2,206943,42606,6086550
KK Nagar,2025,3,3,2,5,AdjLand,No,Commercial,NoSewage,Gravel,RM,4,3,2,3,688161,282323,17645160
Velachery,1581,161,2,1,4,AbNormal,Yes,Others,NoSewage,Paved,A,3,5,3,4,314148,66136,8267060
KK Nagar,1731,191,2,1,4,Normal Sale,No,House,NoSewage,Gravel,RM,3,3,2,2,451275,102563,10256260
Karapakkam,1243,51,1,1,3,AbNormal,Yes,Commercial,NoSewage,No Access,I,4,3,3,3,468587,219949,9563000
Chrompet,1184,197,1,1,3,AdjLand,Yes,House,All Pub,Gravel,RH,4,4,5,4,317773,59582,9930400
Velachery,1704,66,2,1,4,AdjLand,No,House,ELO,Paved,C,3,4,2,3,257781,156231,7811540
Adyar,961,178,1,1,3,Family,Yes,Others,ELO,No Access,I,4,4,2,3,281211,85926,7811430
Karapakkam,610,108,1,1,2,Normal Sale,No,Commercial,NoSewage,No Access,I,2,3,3,3,191979,117321,5332750
Adyar,640,77,1,1,2,Partial,No,Commercial,All Pub,No Access,A,2,4,4,3,212712,51566,6445810
Karapakkam,1650,140,2,2,4,AdjLand,No,Commercial,ELO,Gravel,C,2,2,4,3,392488,207788,11543750
Adyar,734,134,1,1,2,Family,No,Others,ELO,Gravel,A,4,4,4,4,199803,27750,5550090
Chrompet,717,171,1,1,2,AbNormal,Yes,Commercial,NoSewage,No Access,RH,4,2,4,3,240168,115280,9606700
Karapakkam,1419,185,2,2,4,Partial,No,House,ELO,Paved,RM,2,4,4,3,322516,94395,7866250
KK Nagar,2055,158,3,2,5,Normal Sale,Yes,House,NoSewage,Paved,RL,4,3,2,3,348127,220480,11604220
Chrompet,1010,23,1,1,3,Partial,Yes,Others,All Pub,No Access,RL,2,2,2,2,272116,149225,8777950
Chrompet,1011,14,1,1,3,Normal Sale,No,Commercial,NoSewage,Paved,RH,3,2,2,2,281296,146274,11251850
Anna Nagar,1806,68,2,1,5,Normal Sale,Yes,Commercial,All Pub,No Access,RH,3,3,3,3,730011,197300,19730040
Adyar,1225,15,2,2,4,AdjLand,No,Others,All Pub,Paved,A,4,2,4,4,251805,33574,8393515
Adyar,1252,177,2,2,4,Family,Yes,House,NoSewage,Paved,RH,2,5,3,3,321922,123088,9468300
Velachery,1913,143,3,2,5,Partial,Yes,Commercial,All Pub,No Access,RL,2,2,3,2,583629,268154,15773770
Velachery,1729,17,2,1,4,Normal Sale,Yes,Others,All Pub,Gravel,RH,3,4,2,3,379338,100413,11157010
T Nagar,1717,49,1,1,4,AdjLand,Yes,Others,All Pub,Paved,RH,2,4,3,3,366245,183123,14086360
Karapakkam,1091,49,1,1,3,Normal Sale,Yes,House,ELO,Paved,I,2,4,2,3,315347,67095,6709500
KK Nagar,1629,111,2,1,4,Normal Sale,Yes,Commercial,All Pub,Paved,RM,4,2,2,3,574707,124261,15532620
KK Nagar,1724,107,2,1,4,Normal Sale,Yes,Commercial,NoSewage,Paved,RH,4,4,4,4,503359,133242,14804680
Chrompet,1198,29,1,1,3,AdjLand,No,House,All Pub,Gravel,RH,4,3,2,3,304354,27669,9222850
Karapakkam,1329,109,1,1,3,AbNormal,No,Others,ELO,No Access,A,3,4,2,3,180122,107216,4288625
Anna Nagar,1634,160,1,1,4,AbNormal,Yes,Commercial,All Pub,Gravel,RM,3,2,3,3,661033,351174,20657270
Karapakkam,979,27,1,1,3,Normal Sale,Yes,House,NoSewage,Paved,RM,4,3,2,3,337636,157040,7852000
Velachery,1749,154,2,1,4,Family,No,Commercial,ELO,Paved,C,3,4,3,3,398407,261455,12450220
Karapakkam,1446,79,2,2,4,Partial,No,Commercial,All Pub,Paved,RL,3,2,5,3,338535,157983,11284500
Chrompet,1034,85,1,1,3,Normal Sale,No,House,All Pub,Paved,RM,2,4,2,3,282835,45619,9123700
T Nagar,1722,166,1,1,4,AbNormal,No,House,NoSewage,Gravel,RH,3,3,3,3,324836,180465,12030980
Anna Nagar,1978,121,2,1,5,Normal Sale,No,Others,NoSewage,No Access,RH,4,3,4,4,414278,106910,13363810
Velachery,1529,184,2,1,4,AbNormal,Yes,Commercial,NoSewage,No Access,A,2,3,3,3,421730,177571,11098160
Chrompet,1074,72,1,1,3,AdjLand,Yes,Commercial,All Pub,Paved,RH,4,4,3,4,421643,65882,13176350
KK Nagar,2341,192,4,2,6,Normal Sale,No,Commercial,NoSewage,Gravel,RL,3,4,4,4,847638,313258,18426920
Chrompet,1229,10,2,1,4,Family,No,Commercial,All Pub,Paved,RH,4,4,4,4,349999,94231,13461500
Chrompet,1215,177,2,1,4,AbNormal,Yes,Others,NoSewage,Gravel,RH,3,4,4,3,268551,64452,10742050
Anna Nagar,1648,145,1,1,4,AbNormal,No,Others,NoSewage,Gravel,RL,4,4,4,4,485530,202304,13486940
T Nagar,1795,51,1,1,4,Family,No,Others,All Pub,Paved,RM,3,2,4,3,359336,221130,13820610
Velachery,1889,49,3,2,5,Partial,No,Commercial,NoSewage,No Access,RL,4,4,4,4,445114,311580,14837130
KK Nagar,1527,171,2,1,4,AbNormal,Yes,House,NoSewage,Paved,RM,2,2,3,2,339897,175099,10299920
Chrompet,951,96,1,1,3,Normal Sale,No,Commercial,NoSewage,No Access,RH,4,4,2,3,310964,30093,10031100
T Nagar,1993,62,2,1,5,Family,Yes,House,NoSewage,Paved,RH,3,2,3,3,499629,216056,13503490
KK Nagar,2329,2,4,2,6,Partial,Yes,Commercial,All Pub,Gravel,RM,2,3,4,3,818342,359272,19959560
Adyar,1094,1,1,1,3,Family,Yes,Others,ELO,No Access,C,4,4,3,3,246928,61732,7716505
T Nagar,1796,100,1,1,4,Family,Yes,House,NoSewage,No Access,RM,2,4,2,2,477032,116035,12892760
Chrompet,946,45,1,1,3,Partial,No,House,All Pub,Paved,RL,2,5,3,3,234377,70313,7812550
Velachery,1697,26,2,1,4,Normal Sale,No,Others,All Pub,Gravel,RH,2,3,2,3,316343,143792,9586150
Anna Nagar,1813,186,2,1,5,Partial,No,Others,NoSewage,Paved,RH,3,2,4,3,378073,73175,12195890
KK Nagar,1656,55,2,1,4,Normal Sale,Yes,House,NoSewage,Gravel,RM,4,4,3,3,428273,208349,11574940
Anna Nagar,1738,37,1,1,4,AbNormal,Yes,Commercial,All Pub,Paved,RM,2,3,3,3,741809,275529,21194540
Chrompet,1155,42,1,1,3,Partial,Yes,House,All Pub,No Access,RM,2,2,2,2,244550,166294,9782000
Chrompet,768,9,1,1,2,Partial,No,Others,NoSewage,No Access,RL,3,4,5,4,185735,46434,6633410
Velachery,1818,125,3,2,5,Family,Yes,Others,NoSewage,No Access,C,3,3,2,3,325427,154149,8563860
Adyar,1199,190,1,1,3,AbNormal,No,Others,ELO,Gravel,RH,3,2,4,4,395284,19764,9882100
Anna Nagar,1658,157,1,1,4,Partial,No,Commercial,ELO,No Access,RM,2,2,2,2,652034,211470,17622540
KK Nagar,2034,18,3,2,5,Normal Sale,Yes,House,All Pub,Gravel,RM,3,4,3,3,641170,115411,12823400
Anna Nagar,1899,49,2,1,5,Partial,Yes,House,ELO,No Access,RL,3,3,3,3,462916,175157,12511230
KK Nagar,1621,93,2,1,4,AdjLand,Yes,Commercial,NoSewage,Gravel,RM,3,3,3,3,518332,210572,16197860
Velachery,1660,107,2,1,4,Family,Yes,Others,NoSewage,Paved,C,2,3,5,3,344530,65181,9311620
Karapakkam,1037,130,1,1,3,AbNormal,Yes,Commercial,All Pub,Gravel,A,4,3,2,3,266987,186082,8090500
Chrompet,868,171,1,1,3,Family,No,Others,NoSewage,No Access,RL,2,4,4,3,189725,75890,7589010
Karapakkam,783,174,1,1,2,Partial,Yes,House,All Pub,Paved,RM,3,4,3,3,276968,113628,7101750
Velachery,1642,87,2,1,4,AdjLand,No,Commercial,NoSewage,Gravel,RM,3,3,3,3,613616,107383,15340410
Anna Nagar,1618,158,1,1,4,Normal Sale,Yes,House,NoSewage,No Access,RH,4,4,2,3,287048,88322,11040310
Velachery,1645,186,2,1,4,AbNormal,No,House,NoSewage,Gravel,RL,3,3,2,3,325060,74299,9287430
Karapakkam,1150,103,1,1,3,Family,No,Others,NoSewage,No Access,C,2,4,4,3,219311,56103,5100250
KK Nagar,2186,18,3,2,5,AbNormal,Yes,Others,All Pub,Gravel,RM,3,4,4,4,478999,197235,14088220
Velachery,1911,162,3,2,5,Family,No,Commercial,NoSewage,Gravel,RL,2,4,2,3,467076,249107,15569210
Chrompet,1058,19,1,1,3,Partial,Yes,House,NoSewage,No Access,RH,2,4,4,3,233915,120730,7545650
T Nagar,1720,80,1,1,4,Family,Yes,House,All Pub,No Access,RL,4,2,3,3,387948,109110,12123360
KK Nagar,1719,96,2,1,4,Partial,Yes,House,NoSewage,Paved,RM,2,2,2,2,339917,95602,10622400
Chrompet,1191,102,1,1,3,Partial,Yes,Commercial,All Pub,Paved,RH,4,5,3,4,333890,93489,13355600
Anna Nagar,1903,183,2,1,5,Family,No,Others,NoSewage,No Access,RL,4,3,3,3,474897,171491,13191580
Chrompet,1039,28,1,1,3,AbNormal,Yes,House,All Pub,No Access,RL,4,4,2,3,218593,69950,8743700
Adyar,816,21,1,1,3,AbNormal,No,House,ELO,Gravel,A,2,4,2,2,229692,17227,5742295
T Nagar,1848,113,2,1,5,Normal Sale,Yes,Commercial,NoSewage,Paved,RM,3,4,2,3,770779,374378,22022260
Adyar,931,195,1,1,3,Family,No,Commercial,ELO,No Access,RH,3,3,2,2,382227,21235,10617420
KK Nagar,2062,157,3,2,5,Normal Sale,Yes,House,All Pub,Paved,RH,3,4,2,3,425412,229068,10908000
Velachery,1894,14,3,2,5,Family,Yes,Commercial,NoSewage,No Access,A,2,3,4,3,436488,231884,13640240
Karapakkam,1474,144,2,2,4,Family,No,Others,NoSewage,Gravel,I,2,3,2,2,268643,69080,7675500
Karapakkam,968,186,1,1,3,Partial,No,House,NoSewage,No Access,RL,2,3,3,3,290050,52209,5801000
T Nagar,1827,73,2,1,5,Normal Sale,No,House,NoSewage,Paved,RM,2,4,3,3,450795,212139,13258680
Chrompet,709,48,1,1,2,Normal Sale,No,House,NoSewage,Paved,RM,3,4,3,3,237970,122823,7676450
Anna Nagar,1983,73,2,1,5,AbNormal,Yes,Others,NoSewage,Paved,RH,2,4,3,3,379689,262862,14603420
KK Nagar,1464,67,2,1,4,Partial,No,Commercial,All Pub,Paved,RH,4,2,2,2,456367,96077,12009660
Adyar,1290,108,2,2,4,AdjLand,No,Others,All Pub,Paved,A,3,3,4,3,264914,85456,8545605
Karapakkam,558,129,1,1,2,Family,Yes,Commercial,ELO,Gravel,RL,3,5,2,3,336196,156370,7818500
KK Nagar,1863,175,3,2,5,AdjLand,No,Others,All Pub,Paved,RM,2,3,4,3,441596,155155,11935020
Adyar,1199,39,1,1,3,AbNormal,Yes,Commercial,All Pub,No Access,C,4,3,2,3,502763,50276,12569065
T Nagar,1631,35,1,1,4,Normal Sale,Yes,Commercial,All Pub,Gravel,RH,2,2,3,2,649092,305455,19090950
Velachery,1576,169,2,1,4,Family,Yes,Others,NoSewage,No Access,A,4,3,4,4,309605,69661,7740130
Chrompet,1148,82,1,1,3,AbNormal,Yes,Others,ELO,Gravel,RM,3,2,2,2,321168,177196,11074760
Anna Nagar,1792,62,1,1,4,Normal Sale,Yes,Commercial,ELO,Paved,RL,3,3,2,3,708009,229062,20823790
T Nagar,1808,154,2,1,5,Family,No,House,NoSewage,Gravel,RL,2,3,3,3,348123,116041,12893440
T Nagar,1877,131,2,1,5,AbNormal,No,House,All Pub,Gravel,RL,3,3,2,3,529436,190054,13575290
Velachery,1760,108,2,1,4,AdjLand,Yes,Others,NoSewage,Paved,RM,2,4,3,3,476702,188172,12544800
Chrompet,966,163,1,1,3,Partial,No,Commercial,NoSewage,Paved,RH,2,3,2,2,292841,135962,10458600
Karapakkam,979,85,1,1,3,AdjLand,Yes,Others,NoSewage,Gravel,RH,2,2,3,2,324980,154753,7737625
Chrompet,1044,166,1,1,3,Family,No,House,All Pub,Paved,RL,4,4,2,3,232087,146129,8595800
Adyar,1180,69,1,1,3,Family,No,Commercial,All Pub,Paved,RL,4,3,4,4,495815,28332,14166140
Chrompet,1095,79,1,1,3,Partial,Yes,Others,NoSewage,Gravel,RL,3,4,5,4,326709,132725,10209650
Chrompet,1202,149,2,1,4,AdjLand,No,Others,All Pub,No Access,RM,4,2,4,3,292010,73003,10428940
Adyar,691,77,1,1,2,Normal Sale,Yes,Commercial,ELO,Gravel,I,3,3,3,3,379506,129831,9987005
Karapakkam,1313,35,1,1,3,AbNormal,No,Commercial,ELO,No Access,RM,3,2,4,3,453822,137202,10554000
Adyar,625,168,1,1,2,AdjLand,No,Commercial,ELO,Paved,RH,3,3,4,3,262173,131087,8739100
KK Nagar,1933,186,3,2,5,Partial,No,Commercial,NoSewage,Gravel,RL,3,2,3,3,572732,247668,15479240
Karapakkam,681,198,1,1,2,Family,Yes,House,All Pub,No Access,RM,4,3,2,3,321738,64348,6434750
Karapakkam,636,35,1,1,2,AbNormal,No,Others,All Pub,No Access,RH,2,4,3,3,141203,98842,4706750
Anna Nagar,1718,100,1,1,4,AdjLand,Yes,House,ELO,Gravel,RM,3,3,4,3,504678,230710,14419380
Karapakkam,1086,134,1,1,3,Normal Sale,Yes,House,NoSewage,No Access,RL,4,2,3,3,262153,144874,6898750
Chrompet,845,65,1,1,3,Partial,No,Commercial,NoSewage,No Access,RL,3,3,3,3,322608,110897,10081500
Anna Nagar,1774,158,1,1,4,Family,Yes,Others,NoSewage,No Access,RM,4,3,3,4,421391,210696,14046370
Anna Nagar,1730,129,1,1,4,Partial,No,House,All Pub,Gravel,RL,3,4,4,4,472693,218166,12120330
Chrompet,1180,18,1,1,3,AdjLand,No,House,NoSewage,Paved,RL,4,4,2,4,294936,116187,8937450
Velachery,1607,177,2,1,4,Normal Sale,No,Commercial,ELO,Paved,RL,3,3,3,3,550357,110071,13758930
Adyar,1182,193,1,1,3,Partial,No,Commercial,NoSewage,No Access,RL,4,2,2,3,488617,66029,13205875
T Nagar,1539,100,1,1,4,Family,No,Commercial,NoSewage,Gravel,RH,2,5,3,3,426539,255923,17061540
Karapakkam,1636,5,2,2,4,Partial,No,Others,All Pub,No Access,A,2,4,2,3,247489,129369,5624750
Karapakkam,1088,178,1,1,3,Family,No,Others,NoSewage,Paved,RH,4,2,4,3,305664,159200,6368000
Karapakkam,1229,78,1,1,3,Partial,Yes,House,All Pub,Gravel,RH,2,2,2,2,376917,144351,8019500
Adyar,848,125,1,1,3,AbNormal,No,Others,NoSewage,Gravel,A,3,4,4,4,264736,19855,6618400
Chrompet,1209,148,2,1,4,Family,Yes,Commercial,All Pub,Gravel,RH,3,4,4,4,476120,148788,14878750
KK Nagar,2041,85,3,2,5,Normal Sale,No,House,NoSewage,Paved,RH,2,5,2,3,346506,105877,9625180
Adyar,618,22,1,1,2,AbNormal,No,Others,NoSewage,Gravel,A,4,3,4,4,177488,16639,5546495
Anna Nagar,1750,124,1,1,4,Family,No,House,NoSewage,Gravel,RL,2,3,3,3,359917,59986,11997230
Anna Nagar,1816,131,2,1,5,Partial,No,Others,ELO,No Access,RM,4,4,4,4,411532,92927,13275240
Karapakkam,793,153,1,1,2,Family,No,Others,NoSewage,No Access,I,4,4,2,3,184742,39588,4398625
Velachery,1737,109,2,1,4,Family,No,Commercial,All Pub,Gravel,C,2,2,5,3,398902,172857,13296730
Adyar,658,155,1,1,2,AdjLand,No,House,All Pub,No Access,A,3,2,2,3,179191,13439,4479770
Adyar,1219,189,2,2,4,AdjLand,No,Others,ELO,Paved,RM,2,3,2,2,356975,167332,11155480
Karapakkam,1272,181,1,1,3,Normal Sale,No,Commercial,All Pub,Gravel,RH,2,3,2,2,380351,236434,10279750
Chrompet,919,72,1,1,3,Family,Yes,House,ELO,Gravel,RL,3,3,2,3,260537,35936,8984050
Anna Nagar,1741,46,1,1,4,Family,No,Others,All Pub,No Access,RL,2,2,3,2,424680,84936,12133700
Anna Nagar,1984,160,2,1,5,AdjLand,No,Others,ELO,Paved,RM,3,3,5,4,440372,242964,15185240
KK Nagar,2202,104,3,2,5,Family,Yes,Commercial,All Pub,Paved,RM,2,3,4,3,821501,186705,18670480
Adyar,630,52,1,1,2,AdjLand,Yes,Others,NoSewage,Gravel,C,2,4,2,3,273256,29541,7385285
KK Nagar,1344,89,2,1,4,AbNormal,No,Commercial,All Pub,Paved,RM,4,4,5,4,406489,301589,13112560
Karapakkam,915,25,1,1,3,Partial,No,Commercial,All Pub,No Access,C,3,5,2,3,287054,105449,5858250
Velachery,1884,142,3,2,5,Family,No,House,NoSewage,No Access,C,3,2,2,2,253856,96054,6860970
T Nagar,1989,46,2,1,5,Family,No,House,ELO,Paved,RL,4,2,5,4,456406,190169,12677940
Adyar,730,87,1,1,2,Partial,Yes,House,NoSewage,Gravel,RH,2,3,2,2,264504,54457,7779515
Chrompet,1081,172,1,1,3,Partial,Yes,House,ELO,Paved,RL,4,2,2,2,270368,87216,8721550
Chrompet,1198,73,1,1,3,Normal Sale,Yes,Commercial,ELO,Paved,RH,3,4,2,3,427058,151537,13776050
Chrompet,927,40,1,1,3,AbNormal,No,House,All Pub,No Access,RM,3,4,4,4,211506,89483,8134850
Velachery,1611,115,2,1,4,Partial,No,House,NoSewage,Gravel,RL,2,2,4,2,315564,176344,9281280
Adyar,655,22,1,1,2,AdjLand,Yes,Commercial,All Pub,Paved,RL,2,3,3,2,398972,68395,11399205
Velachery,1634,111,2,1,4,AdjLand,Yes,Commercial,NoSewage,Gravel,I,4,3,3,3,491907,163969,14906280
KK Nagar,1762,28,2,1,4,Partial,No,Commercial,NoSewage,Paved,RM,4,4,4,4,439403,175761,14646760
KK Nagar,2049,7,3,2,5,Normal Sale,No,House,All Pub,Paved,RH,2,2,3,2,400777,180350,10019420
Velachery,1711,148,2,1,4,AbNormal,No,Commercial,All Pub,Gravel,RH,4,2,3,3,450959,145471,14547070
KK Nagar,1807,53,3,2,5,Partial,Yes,Commercial,NoSewage,Paved,RM,3,4,3,3,732764,286734,15929660
Karapakkam,591,106,1,1,2,AbNormal,Yes,Commercial,NoSewage,No Access,RL,2,3,4,3,228552,164272,7142250
T Nagar,1827,98,2,1,5,Partial,Yes,Commercial,All Pub,No Access,RL,2,3,4,3,616673,287781,20555760
Adyar,789,197,1,1,2,AdjLand,Yes,Commercial,ELO,No Access,RH,2,4,2,2,412806,74093,10584775
Adyar,1299,20,2,2,4,Normal Sale,No,Commercial,ELO,Gravel,RM,4,3,4,4,553550,205604,15815700
Adyar,786,197,1,1,2,Family,No,Others,ELO,Gravel,RH,2,3,2,2,266914,37071,7414265
Velachery,1726,89,2,1,4,AbNormal,Yes,House,ELO,Paved,A,4,3,2,3,291169,84286,7662340
T Nagar,1790,82,1,1,4,AbNormal,Yes,Others,NoSewage,Paved,RL,3,2,2,2,370287,170902,14241820
Adyar,691,182,1,1,2,AbNormal,No,House,ELO,No Access,I,3,3,4,3,158899,5126,5125790
KK Nagar,1405,75,2,1,4,Family,Yes,Others,NoSewage,Paved,RL,4,2,3,3,383204,231939,10084320
Adyar,1009,164,1,1,3,Normal Sale,Yes,Commercial,NoSewage,Paved,RH,3,4,4,4,449339,26432,13215865
Anna Nagar,1525,114,1,1,4,Family,Yes,Commercial,All Pub,Gravel,RM,4,4,5,4,743729,293577,19571820
Velachery,1847,186,3,2,5,Partial,Yes,House,NoSewage,Gravel,RL,4,2,4,3,427751,236389,11256610
Chrompet,1250,47,2,1,4,AbNormal,Yes,Commercial,NoSewage,Paved,RM,4,4,3,4,482259,186681,15556750
Karapakkam,804,179,1,1,2,Normal Sale,Yes,Others,NoSewage,No Access,I,4,3,3,3,236150,147594,5903750
KK Nagar,2117,133,3,2,5,AbNormal,Yes,Others,NoSewage,Paved,RL,2,4,2,2,446980,248322,12416100
KK Nagar,2018,145,3,2,5,Normal Sale,Yes,Others,NoSewage,Gravel,RL,2,4,4,3,451958,125544,12554380
Chrompet,942,74,1,1,3,Normal Sale,No,Others,ELO,Paved,RH,2,3,3,3,234578,98372,7567040
Adyar,777,196,1,1,2,Partial,Yes,Others,NoSewage,No Access,RM,4,4,2,3,281067,51103,8517175
T Nagar,1695,194,1,1,4,AdjLand,Yes,House,NoSewage,Gravel,RH,3,4,3,3,369855,92464,13209090
Adyar,902,175,1,1,3,AbNormal,No,Commercial,NoSewage,Gravel,C,2,4,2,3,411699,73895,10556375
Velachery,1904,89,3,2,5,AbNormal,No,Others,ELO,Paved,A,5,2,4,3,297667,170096,8504780
Anna Nagar,1536,19,1,1,4,Family,No,Others,NoSewage,No Access,RH,2,3,4,3,276617,92206,10245090
Karapakkam,827,39,1,1,2,AdjLand,Yes,Others,NoSewage,Gravel,RL,3,2,4,3,357217,166148,8307375
Velachery,1553,158,2,1,4,AbNormal,No,House,NoSewage,Gravel,A,3,2,3,3,215323,71774,6524930
Chrompet,768,46,1,1,2,AdjLand,Yes,House,NoSewage,No Access,RH,3,3,3,3,179296,107578,7171850
Chrompet,1245,26,2,1,4,Family,No,Commercial,All Pub,Paved,RM,2,2,3,2,396538,58746,14686600
Velachery,1662,55,2,1,4,AbNormal,Yes,Others,ELO,Paved,A,3,4,2,3,320258,143273,8427850
KK Nagar,1958,94,3,2,5,AbNormal,No,House,All Pub,Gravel,RL,4,2,2,3,469780,192183,10676820
KK Nagar,2281,124,4,2,6,AbNormal,Yes,Commercial,NoSewage,Gravel,RL,2,4,4,3,843562,479297,19171860
Velachery,1908,73,3,2,5,AbNormal,Yes,House,NoSewage,No Access,C,4,3,5,4,338673,127002,8466820
Adyar,916,50,1,1,3,AbNormal,Yes,Others,ELO,No Access,RM,2,4,3,3,375172,37517,9379310
Chrompet,1101,24,1,1,3,Family,Yes,House,NoSewage,No Access,RH,3,3,3,3,235484,117742,8410150
Anna Nagar,1518,142,1,1,4,AdjLand,Yes,Others,ELO,No Access,RL,4,5,2,3,484782,99442,12430300
Adyar,1049,10,1,1,3,Family,Yes,Commercial,ELO,No Access,C,2,3,3,3,412169,66838,11139700
Karapakkam,736,120,1,1,2,AbNormal,Yes,House,All Pub,No Access,RL,3,2,4,3,290019,88267,6304750
Adyar,693,69,1,1,2,Normal Sale,No,House,NoSewage,Gravel,RL,2,4,3,3,320549,88151,8013720
Anna Nagar,1802,77,2,1,5,Partial,No,Others,NoSewage,Paved,RL,3,3,4,3,495694,80383,13397130
Adyar,888,44,1,1,3,AbNormal,Yes,Commercial,ELO,No Access,C,3,3,5,4,396433,69376,9910835
Chrompet,973,155,1,1,3,AdjLand,Yes,Others,NoSewage,No Access,RL,4,3,5,4,247961,38148,9536960
Karapakkam,663,41,1,1,2,Partial,Yes,Others,NoSewage,No Access,C,3,2,4,3,141060,79346,4408125
Chrompet,700,51,1,1,2,Family,Yes,Others,ELO,Paved,RM,4,2,2,3,256389,115788,8270600
Adyar,976,47,1,1,3,Normal Sale,Yes,Others,All Pub,No Access,RL,4,2,4,4,372453,68610,9801395
KK Nagar,2283,56,4,2,6,Family,Yes,Others,All Pub,Gravel,RL,3,3,3,3,443276,221638,13852380
KK Nagar,1301,64,1,1,3,Family,Yes,Commercial,NoSewage,Paved,RH,3,3,3,3,508189,254095,12099740
Karapakkam,1261,112,1,1,3,Partial,No,Commercial,NoSewage,Paved,RH,3,3,4,3,308296,154148,9634250
KK Nagar,2365,37,4,2,6,Partial,No,Commercial,NoSewage,Gravel,RM,3,4,3,3,931224,297992,18624480
Chrompet,958,49,1,1,3,Family,No,Others,ELO,Paved,RM,3,2,3,3,270242,45040,9008060
Velachery,1587,21,2,1,4,Partial,Yes,House,ELO,Paved,I,4,4,4,4,291926,163135,8586060
T Nagar,1977,131,2,1,5,AdjLand,Yes,Commercial,ELO,Paved,RH,5,4,4,4,616010,242004,22000360
Chrompet,1137,70,1,1,3,AdjLand,No,Others,NoSewage,Paved,RM,2,2,2,2,313249,114858,10441640
Chrompet,865,165,1,1,3,Normal Sale,No,Others,NoSewage,Gravel,RH,3,3,3,3,217708,23326,7775300
Chrompet,1125,103,1,1,3,Partial,Yes,House,NoSewage,No Access,RM,3,4,3,3,258958,46243,9248500
Karapakkam,1635,122,2,2,4,AdjLand,No,Commercial,NoSewage,No Access,C,4,2,4,4,371726,212415,10620750
KK Nagar,2345,199,4,2,6,Family,No,Others,NoSewage,Gravel,RM,4,3,3,3,534204,106841,13355100
Chrompet,1072,83,1,1,3,Normal Sale,Yes,House,ELO,Paved,RH,4,2,3,3,257081,94263,8569350
KK Nagar,2416,2,4,2,6,Family,Yes,Commercial,NoSewage,Paved,RM,3,4,3,3,628321,215985,19635040
Velachery,1720,110,2,1,4,Partial,No,Others,NoSewage,Paved,I,4,4,4,4,277870,101044,8420300
Karapakkam,727,88,1,1,2,Family,Yes,Others,ELO,Paved,I,3,2,3,3,228535,99618,5859875
T Nagar,1970,193,2,1,5,AdjLand,Yes,Others,NoSewage,Gravel,RL,4,3,4,4,626088,208696,16053550
Velachery,1891,51,3,2,5,AbNormal,Yes,Others,All Pub,Paved,RM,3,4,4,4,430619,147641,12303400
Karapakkam,1227,102,1,1,3,Family,Yes,House,All Pub,Paved,A,4,2,4,3,285108,154950,6198000
Chrompet,1253,135,2,1,4,Family,Yes,Others,NoSewage,Paved,RL,2,3,3,3,352351,154153,11010960
Karapakkam,1278,199,1,1,3,Normal Sale,No,Commercial,NoSewage,Gravel,RH,3,3,3,3,453424,94903,10544750
Adyar,692,190,1,1,2,Family,No,Others,All Pub,No Access,A,4,3,2,2,159076,32751,4678720
Chrompet,1186,200,1,1,3,AdjLand,No,Commercial,All Pub,Paved,RH,3,3,3,3,326064,91298,13042550
KK Nagar,1881,50,3,2,5,AbNormal,Yes,Others,All Pub,Paved,RM,3,2,4,3,608015,240673,12666980
Chrompet,898,87,1,1,3,Family,Yes,Others,ELO,Gravel,RM,3,3,4,3,321574,103734,10373360
Velachery,1661,31,2,1,4,AbNormal,Yes,House,All Pub,Gravel,A,2,4,3,3,306505,170281,8514030
KK Nagar,1536,150,2,1,4,Partial,No,House,NoSewage,Paved,RL,3,4,4,4,374964,87201,8720100
Chrompet,726,155,1,1,2,AdjLand,Yes,Others,NoSewage,No Access,RH,3,4,2,3,237190,86251,7187570
Adyar,961,132,1,1,3,Partial,Yes,Commercial,NoSewage,Paved,C,2,3,3,3,383886,10968,10968170
Karapakkam,1356,100,2,2,4,Normal Sale,Yes,House,All Pub,No Access,RH,4,4,2,3,224541,152108,7243250
Chrompet,882,40,1,1,3,AdjLand,No,Others,NoSewage,No Access,RM,2,2,4,2,285963,112652,8665540
Karapakkam,1558,133,2,2,4,AdjLand,Yes,Others,NoSewage,Paved,C,2,4,5,4,268541,150067,7898250
Karapakkam,1440,75,2,2,4,Normal Sale,Yes,House,NoSewage,No Access,RL,2,4,4,3,330110,125756,7859750
Karapakkam,691,37,1,1,2,AdjLand,Yes,Others,NoSewage,Paved,I,2,3,3,3,236325,121193,6059625
Adyar,1255,191,2,2,4,Family,No,House,ELO,Paved,RM,2,3,2,2,322706,60507,10084565
Chrompet,1009,128,1,1,3,AdjLand,Yes,Commercial,All Pub,Paved,RL,2,4,2,3,414241,146989,13362600
